question,question_type,expected_pages,expected_substrings,retrieved_pages,retrieval_hit_top1,retrieval_hit_topk,baseline_answer,baseline_hit,final_answer_short,answer_hit,citation_hit,verifier_verdict,planner_jurisdiction,planner_entity,planner_topic,n_candidates,top1_final_score,full_answer
What is the filing deadline for Quebec corporate income tax returns?,deadline,[102],['six months after year-end'],"[102, 102, 102, 102, 102, 102]",True,True,within six months after year-end,True,within six months after year-end,True,True,supported_exact,Quebec,corporate income tax returns,tax deadlines,48,0.8764099777078629,"within six months after year-end

Evidence
- [Source 1 | p. 102] quebec corporate income tax returns -> within six months after year-end
- [Source 1 | p. 102] federal corporate income tax returns -> within six months after year-end

Citations: (p. 102)

Confidence: high
Verifier: supported_exact"
When is the balance of taxes payable due for corporations federally?,deadline,[102],['two months after year-end'],"[102, 102, 102, 102, 102, 102]",True,True,"within six
months after year-end
The balance of taxes payable
is due within two months after
year-end",False,two months after year-end,True,True,supported_exact,United States,corporations,taxes payable deadlines,42,0.8128076453304292,"two months after year-end

Evidence
- [Source 1 | p. 102] Filing and Payment Deadlines Filing Deadline Payment Deadline Federal Corporate income tax returns1 Returns are due within six months after year-end The balance of taxes payable is
- [Source 2 | p. 102] |Alberta Corporate income tax returns|Returns are due (and must be received) within six months after year-end|The balance of taxes payable is due within two months after year-end F
- [Source 3 | p. 102] |Other provincial Capital tax returns5|Returns are due within six months after year-end|The balance of taxes payable is due within six months after year-end| |---|---|---|

Citations: (p. 102)

Confidence: high
Verifier: supported_exact"
When is the balance of taxes payable due for certain CCPCs federally?,deadline,[102],['three months after year-end'],"[102, 102, 102, 102, 102, 99]",True,True,"within six
months after year-end
The balance of taxes payable
is due within two months after
year-end",False,three months after year-end,True,True,supported_exact,United States,CCPC,taxes,43,0.7845249777078629,"three months after year-end

Evidence
- [Source 1 | p. 102] Filing and Payment Deadlines Filing Deadline Payment Deadline Federal Corporate income tax returns1 Returns are due within six months after year-end The balance of taxes payable is
- [Source 2 | p. 102] |Alberta Corporate income tax returns|Returns are due (and must be received) within six months after year-end|The balance of taxes payable is due within two months after year-end F
- [Source 3 | p. 102] interest relief on existing corporate income tax balances between April 2 and June 30, 2025 (2) For federal purposes, in order to qualify for the extension, the corporation must be

Citations: (p. 102)

Confidence: high
Verifier: supported_exact"
"For payroll source deductions, when are monthly remittances due for new and regular employers?",deadline,[104],['15th day of the following month'],"[104, 104, 104, 104, 105, 104]",True,True,15th day of the following month,True,15th day of the following month,True,True,supported_exact,US,employers,payroll deductions,22,0.8852717342662811,"15th day of the following month

Evidence
- [Source 3 | p. 104] new and regular employers -> 15th day of the following month
- [Source 2 | p. 104] |Monthly4
New and regular employers|< $25,000|15th day of the following month|
|---|---|---|

Citations: (p. 104)

Confidence: high
Verifier: supported_exact"
"For payroll source deductions, when are quarterly remittances due for new small employers?",deadline,[104],['15th day of the month following the end of each calendar quarter'],"[104, 104, 104, 104, 104, 105]",True,True,15th day of the following month,False,15th day of the month following the end of each calendar quarter,True,True,supported_exact,US,small employers,payroll deductions,22,0.90769,"15th day of the month following the end of each calendar quarter

Evidence
- [Source 2 | p. 104] new small employers -> 15th day of the month following the end of each calendar quarter

Citations: (p. 104)

Confidence: high
Verifier: supported_exact"
"For payroll source deductions, when are accelerated threshold 1 remittances due?",deadline,[104],['25th day of the same month'],"[104, 104, 104, 105, 104, 104]",True,True,15th day of the following month,False,25th day of the same month,True,True,supported_exact,,,rate,5,0.8907060238480569,"25th day of the same month

Evidence
- [Source 1 | p. 104] Payroll Source Deductions Type of Remitter Thresholds1 Payment Deadline2 Quarterly3 New small employers < $1,000 and perfect compliance history 15th day of the month following the
- [Source 2 | p. 104] hich average monthly withholding amounts fall. If, for example, this amount is $25,000 or more, then all associated corporations will be considered accelerated remitters. The Canad
- [Source 3 | p. 104] |Weekly6 Accelerated – Threshold 2|$100,000 or more|Third working day after the end of each weekly period| |---|---|---|

Citations: (p. 104)

Confidence: high
Verifier: supported_exact"
"For payroll source deductions, when are weekly remittances due for accelerated threshold 2 remitters?",deadline,[104],['Third working day after the end of each weekly period'],"[104, 104, 104, 105, 104, 104]",True,True,15th day of the following month,False,Third working day after the end of each weekly period,True,True,supported_exact,UK,Payroll Source Deductions,Remittances,5,0.8593367714214325,"Third working day after the end of each weekly period

Evidence
- [Source 1 | p. 104] |Weekly6 Accelerated – Threshold 2|$100,000 or more|Third working day after the end of each weekly period| |---|---|---|
- [Source 2 | p. 104] Payroll Source Deductions Type of Remitter Thresholds1 Payment Deadline2 Quarterly3 New small employers < $1,000 and perfect compliance history 15th day of the month following the
- [Source 3 | p. 104] hich average monthly withholding amounts fall. If, for example, this amount is $25,000 or more, then all associated corporations will be considered accelerated remitters. The Canad

Citations: (p. 104)

Confidence: high
Verifier: supported_exact"
What is the due date for monthly payroll remittances for new and regular employers?,deadline,[104],['15th day of the following month'],"[104, 104, 105, 104, 104, 105]",True,True,15th day of the following month,True,15th day of the following month,True,True,supported_exact,US,employers,payroll remittances,7,0.8111655473041535,"15th day of the following month

Evidence
- [Source 4 | p. 104] new and regular employers -> 15th day of the following month
- [Source 4 | p. 104] yers
< $3,000 and perfect
compliance history
Monthly4
New and regular employers
< $25,000
15th day of the following month
Semi-monthly5
Accelerated – Threshold 1
$25,000 to $99,999.99
25th day of the same month
10th day of the following month
Weekly6


Citations: (p. 104)

Confidence: high
Verifier: supported_exact"
What is the due date for weekly payroll remittances for accelerated threshold 2 remitters?,deadline,[104],['Third working day after the end of each weekly period'],"[105, 104, 104, 104, 104, 104]",False,True,15th day of the following month,False,Third working day after the end of each weekly period,True,True,supported_exact,UK,accelerated threshold 2 remitters,payroll remittances,5,0.7013666546964645,"Third working day after the end of each weekly period

Evidence
- [Source 1 | p. 105] four times a month. The remittances must be received by the third working day after the last day of the following periods: • 1st to the 7th day of the month • 8th to the 14th day o
- [Source 2 | p. 104] |Weekly6 Accelerated – Threshold 2|$100,000 or more|Third working day after the end of each weekly period| |---|---|---|
- [Source 3 | p. 104] hich average monthly withholding amounts fall. If, for example, this amount is $25,000 or more, then all associated corporations will be considered accelerated remitters. The Canad

Citations: (p. 104)

Confidence: high
Verifier: supported_exact"
When are federal corporate income tax returns due after year-end?,deadline,[102],['six months after year-end'],"[102, 102, 99, 99, 102, 102]",True,True,within six months after year-end,True,within six months after year-end,True,True,supported_exact,United States,federal government,tax returns,14,0.71219,"within six months after year-end

Evidence
- [Source 1 | p. 102] federal corporate income tax returns -> within six months after year-end
- [Source 1 | p. 102] es
Filing Deadline
Payment Deadline
Federal Corporate
income tax returns1
Returns are due within six
months after year-end
The balance of taxes payable
is due within two months after
year-end
For certain CCPCs, the deadline
is extended to three months2

Citations: (p. 102)

Confidence: high
Verifier: supported_exact"
When are Quebec corporate income tax returns due after year-end?,deadline,[102],['six months after year-end'],"[102, 102, 102, 102, 102, 99]",True,True,within six months after year-end,True,within six months after year-end,True,True,supported_exact,Quebec,corporate taxpayers,tax returns deadlines,43,0.7278299777078628,"within six months after year-end

Evidence
- [Source 1 | p. 102] quebec corporate income tax returns -> within six months after year-end
- [Source 1 | p. 102] federal corporate income tax returns -> within six months after year-end

Citations: (p. 102)

Confidence: high
Verifier: supported_exact"
